CODGL;Viv;Pob;Viv_par;Pob_viv_part;Viv_col;Pob_viv_col;Pob_sit_calle
22007;130.298;223.554;130.145;221.001;153;2.093;460
22014;107.544;161.645;107.498;160.609;46;999;37
22021;110.368;196.240;110.264;193.537;104;2.455;248
22028;100.986;229.240;100.950;227.024;36;1.596;620
22035;106.054;194.271;105.979;192.449;75;1.812;10
22042;106.725;203.043;106.669;201.764;56;1.237;42
22049;99.708;215.896;99.624;213.262;84;2.366;268
22056;73.037;204.367;73.029;203.888;8;181;298
22063;75.361;169.063;75.315;167.908;46;1.130;25
22070;84.264;173.004;84.220;171.896;44;1.036;72
22077;100.824;204.601;100.777;201.905;47;2.685;11
22084;120.938;236.887;120.868;235.364;70;1.505;18
22091;145.557;264.385;145.490;262.330;67;1.895;160
22098;150.826;248.635;150.774;247.252;52;1.300;83
22105;102.810;196.876;102.752;195.265;58;1.560;51
60007;8.861;17.552;8.840;17.344;21;208;.
60014;5.962;12.914;5.955;12.847;7;67;.
60021;5.893;12.982;5.885;12.906;8;76;.
60028;191.579;584.827;191.524;583.209;55;1.618;.
60035;145.388;367.554;145.330;366.117;58;1.437;.
60042;9.879;21.977;9.864;21.757;15;220;.
60049;31.618;75.905;31.590;75.152;28;753;.
60056;149.008;336.557;148.924;334.505;84;2.049;3
60063;20.472;48.982;20.449;48.516;23;466;.
60070;15.343;40.002;15.305;39.223;38;779;.
60077;12.879;32.215;12.869;32.077;10;138;.
60084;9.372;22.292;9.358;21.185;14;1.107;.
60091;121.135;358.712;121.114;358.328;21;384;.
60098;36.569;100.930;36.557;100.685;12;245;.
60105;17.561;37.594;17.524;37.194;37;398;2
60112;19.838;46.504;19.817;46.227;21;277;.
60119;14.682;32.448;14.675;32.350;7;98;.
60126;41.642;110.566;41.628;107.976;14;2.590;.
60134;27.500;70.684;27.492;70.542;8;142;.
60140;6.359;15.965;6.355;15.882;4;83;.
60147;11.268;23.100;11.259;22.905;9;195;.
60154;5.375;14.079;5.369;14.007;6;72;.
60161;7.291;17.499;7.281;17.345;10;154;.
60168;3.991;9.594;3.988;9.551;3;43;.
60175;10.878;27.504;10.871;27.406;7;98;.
60182;27.777;67.503;27.732;65.823;45;1.680;.
60189;8.401;15.968;8.385;15.795;16;173;.
60196;11.222;24.420;11.194;24.110;28;310;.
60203;19.530;42.110;19.506;41.713;24;397;.
60210;23.995;52.729;23.979;52.409;16;320;.
60218;18.523;42.452;18.497;42.191;26;261;.
60224;31.327;70.839;31.309;70.554;18;285;.
60231;7.619;18.422;7.612;18.328;7;94;.
60238;13.454;32.032;13.445;31.405;9;627;.
60245;24.526;63.997;24.524;63.978;2;19;.
60252;90.354;256.268;90.334;256.071;20;195;2
60260;114.379;338.480;114.348;337.880;31;597;3
60266;17.688;40.159;17.675;40.036;13;123;.
60270;67.423;201.511;67.409;198.620;14;2.891;.
60274;148.989;496.433;148.957;488.103;32;8.327;3
60277;3.978;10.790;3.974;10.759;4;31;.
60280;28.977;45.526;28.946;45.307;31;219;.
60287;4.569;12.631;4.561;10.150;8;2.481;.
60294;7.506;16.350;7.496;16.231;10;119;.
