issue_type;codgl;territory_id;province_code;province_name;local_government_name;category_code;category_label;viviendas_total;poblacion_total;viviendas_particulares;poblacion_viviendas_particulares;viviendas_colectivas;poblacion_viviendas_colectivas;poblacion_situacion_calle;geometry_name;geometry_parent_id;possible_counterpart_codgl;possible_counterpart_territory_id;possible_counterpart_name;diagnostic;source
population_without_loaded_municipality_geometry;140000;municipio_140000;14;Córdoba;Sin Gobierno Local;;area sin gobierno local;40958;70934;40936;65554;22;5380;;;;;;;"INDEC no-local-government coverage area; not a municipal polygon";C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
population_without_loaded_municipality_geometry;189998;municipio_189998;18;Corrientes;Indeterminado;;area indeterminada;538;1448;538;1448;;;;;;;;;"INDEC indeterminate local-government area; no reliable municipality polygon match";C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
population_without_loaded_municipality_geometry;220165;municipio_220165;22;Chaco;El Espinillo;M3;municipio de 3a categoria;623;1538;621;1526;2;12;;;;;;;INDEC local government exists, but no loaded municipality geometry has this CODGL;C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
population_without_loaded_municipality_geometry;260000;municipio_260000;26;Chubut;Sin Gobierno Local;;area sin gobierno local;3705;5339;3696;5057;9;282;;;;;;;"INDEC no-local-government coverage area; not a municipal polygon";C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
population_without_loaded_municipality_geometry;268140;municipio_268140;26;Chubut;Aldea Apeleg;CR;comuna rural de unica categoria;75;142;74;137;1;5;;;;;;;INDEC local government exists, but no loaded municipality geometry has this CODGL;C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
population_without_loaded_municipality_geometry;300000;municipio_300000;30;Entre Ríos;Sin Gobierno Local;;area sin gobierno local;8734;17851;8724;17749;10;102;;;;;;;"INDEC no-local-government coverage area; not a municipal polygon";C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
population_without_loaded_municipality_geometry;300011;municipio_300011;30;Entre Ríos;Pueblo Liebig;MU;municipio de unica categoria;547;1641;547;1641;;;;;;309030;municipio_309030;Pueblo Liebig;"Same province/name exists in loaded geometry with a different CODGL; review code crosswalk before treating as missing geometry";C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
population_without_loaded_municipality_geometry;300074;municipio_300074;30;Entre Ríos;Aldea Brasilera;MU;municipio de unica categoria;937;1322;937;1322;;;;;;309075;municipio_309075;Aldea Brasilera;"Same province/name exists in loaded geometry with a different CODGL; review code crosswalk before treating as missing geometry";C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
population_without_loaded_municipality_geometry;300291;municipio_300291;30;Entre Ríos;Aldea María Luisa;MU;municipio de unica categoria;546;1394;545;1384;1;10;;;;;;;INDEC local government exists, but no loaded municipality geometry has this CODGL;C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
population_without_loaded_municipality_geometry;300305;municipio_300305;30;Entre Ríos;El Pingo;MU;municipio de unica categoria;452;1166;452;1166;;;;;;309680;municipio_309680;El Pingo;"Same province/name exists in loaded geometry with a different CODGL; review code crosswalk before treating as missing geometry";C:\Users\Administrator\Downloads\c2022_tp_gobierno_local_c1.xlsx
